Geneid	H2O	Y173	Y299	Y550	Y594
Millet_GLEAN_10019709	50	123	113	63	122
Millet_GLEAN_10019710	1041	2247	2015	1304	3622
Millet_GLEAN_10019711	12	14	9	14	53
Millet_GLEAN_10019712	0	0	0	0	4
Millet_GLEAN_10019713	6966	13423	12620	9846	16833
Millet_GLEAN_10019714	688	1568	1239	836	1602
Millet_GLEAN_10019715	0	0	0	2	0
Millet_GLEAN_10019716	0	0	0	0	0
Millet_GLEAN_10019717	1919	2608	3013	1805	4280
Millet_GLEAN_10019718	319	348	348	311	650
Millet_GLEAN_10019719	0	0	0	0	0
Millet_GLEAN_10001041	15	28	11	10	32
Millet_GLEAN_10001040	0	4	0	0	0
Millet_GLEAN_10001039	281	733	542	526	735
Millet_GLEAN_10001038	850	2648	1909	1629	2611
Millet_GLEAN_10001037	2962	7171	4029	3140	5079
Millet_GLEAN_10001036	1	19	14	2	56
Millet_GLEAN_10001035	0	0	0	0	0
Millet_GLEAN_10001034	7	16	16	20	10
Millet_GLEAN_10001033	10	10	10	6	13
Millet_GLEAN_10001032	213	16	87	78	314
Millet_GLEAN_10017878	9382	410	1461	2883	9511
Millet_GLEAN_10017877	199	1110	924	160	852
Millet_GLEAN_10017876	370	914	795	440	1017
Millet_GLEAN_10017875	201	413	372	181	421
Millet_GLEAN_10017874	126	348	236	174	313
Millet_GLEAN_10017873	264	560	559	198	889
Millet_GLEAN_10017872	706	1092	1209	1189	1642
Millet_GLEAN_10017871	830	1837	1671	720	1651
Millet_GLEAN_10017870	2338	4099	3711	2725	4711
Millet_GLEAN_10017869	0	15	10	0	0
Millet_GLEAN_10017868	438	952	1132	508	1779
Millet_GLEAN_10017867	228	335	213	325	462
Millet_GLEAN_10017866	99	132	272	135	317
Millet_GLEAN_10017865	878	1617	994	784	1160
Millet_GLEAN_10017864	0	0	0	0	0
Millet_GLEAN_10017863	0	0	0	0	0
Millet_GLEAN_10017862	1484	3728	3782	1867	4458
Millet_GLEAN_10017861	5351	14303	13700	7703	17503
Millet_GLEAN_10017860	0	0	0	0	0
Millet_GLEAN_10017859	0	0	0	0	0
Millet_GLEAN_10017858	1548	4730	4437	1861	5902
Millet_GLEAN_10017857	1458	3163	3789	1279	4939
Millet_GLEAN_10017856	621	965	1216	445	1646
Millet_GLEAN_10017855	0	0	1	0	0
Millet_GLEAN_10017854	666	1787	1953	868	2201
Millet_GLEAN_10017853	2702	6859	7025	3669	9055
Millet_GLEAN_10017852	213	867	784	358	978
Millet_GLEAN_10017851	12	10	26	8	17
Millet_GLEAN_10017850	2776	5707	5518	2993	6366
Millet_GLEAN_10017849	0	0	0	0	0
Millet_GLEAN_10017848	0	0	0	0	0
Millet_GLEAN_10017847	54	111	83	60	128
Millet_GLEAN_10017846	0	0	0	0	0
Millet_GLEAN_10017845	2	10	0	7	0
Millet_GLEAN_10017844	305	951	959	575	1040
Millet_GLEAN_10017843	0	0	0	0	0
Millet_GLEAN_10017842	203	668	777	408	1280
Millet_GLEAN_10017841	597	1779	996	796	1565
Millet_GLEAN_10017840	265	442	387	236	544
Millet_GLEAN_10017839	0	0	0	0	0
Millet_GLEAN_10017838	0	0	0	0	8
Millet_GLEAN_10017837	103	135	167	220	441
Millet_GLEAN_10017836	0	0	0	0	0
Millet_GLEAN_10017835	2232	5982	5713	2974	6962
Millet_GLEAN_10017834	1715	4857	5164	2168	5182
Millet_GLEAN_10017833	194	649	640	290	732
Millet_GLEAN_10017832	109	176	33	66	58
Millet_GLEAN_10017831	0	0	0	0	0
Millet_GLEAN_10017830	871	2158	1821	1139	2675
Millet_GLEAN_10017829	0	0	0	0	0
Millet_GLEAN_10017828	0	0	0	0	0
Millet_GLEAN_10017827	0	0	0	0	0
Millet_GLEAN_10017826	0	0	0	0	0
Millet_GLEAN_10017825	97	130	107	122	178
Millet_GLEAN_10017824	3870	7231	7094	4382	8461
Millet_GLEAN_10017823	2017	3620	2739	2506	2854
Millet_GLEAN_10017822	93	256	221	114	260
Millet_GLEAN_10017821	296	989	590	417	777
Millet_GLEAN_10017820	693	852	624	656	230
Millet_GLEAN_10017819	19	42	48	27	10
Millet_GLEAN_10017818	2613	5190	6204	3394	7481
Millet_GLEAN_10017817	83	148	165	111	167
Millet_GLEAN_10017816	1106	2627	2742	2042	4110
Millet_GLEAN_10017815	554	766	959	685	1501
Millet_GLEAN_10017814	0	4	4	0	0
Millet_GLEAN_10017813	0	6	0	14	0
Millet_GLEAN_10017812	0	0	2	0	4
Millet_GLEAN_10017811	9	16	12	14	20
Millet_GLEAN_10017810	1032	2514	1520	2042	1299
Millet_GLEAN_10017809	0	0	0	0	0
Millet_GLEAN_10017808	0	0	0	0	0
Millet_GLEAN_10017807	9	146	55	18	83
Millet_GLEAN_10017806	0	0	0	0	0
Millet_GLEAN_10017805	0	0	0	0	0
Millet_GLEAN_10017804	132	831	240	182	346
Millet_GLEAN_10017803	0	0	1	0	0
Millet_GLEAN_10017802	0	0	0	0	0
Millet_GLEAN_10017801	0	6	0	0	0
Millet_GLEAN_10017800	0	19	0	0	0
Millet_GLEAN_10017799	347	945	654	504	491
Millet_GLEAN_10017798	44	61	61	29	108
Millet_GLEAN_10017797	327	794	747	444	911
Millet_GLEAN_10017796	0	16	12	19	25
Millet_GLEAN_10017795	2386	5155	5258	2648	6895
Millet_GLEAN_10017794	0	0	0	0	0
Millet_GLEAN_10017793	1193	2865	2217	1341	2935
Millet_GLEAN_10017792	0	4	4	0	2
Millet_GLEAN_10017791	68	149	155	73	224
Millet_GLEAN_10017790	0	4	0	0	0
Millet_GLEAN_10028503	0	1	0	0	0
Millet_GLEAN_10028504	4872	11767	10617	5602	13879
Millet_GLEAN_10028505	0	0	0	0	0
Millet_GLEAN_10028506	3357	616	626	265	513
Millet_GLEAN_10028507	4	0	0	2	0
Millet_GLEAN_10028508	2	1	3	1	4
Millet_GLEAN_10028509	12	4	0	0	2
Millet_GLEAN_10028510	62	141	135	113	335
Millet_GLEAN_10028511	0	2	1	2	3
Millet_GLEAN_10028512	235	671	689	335	553
Millet_GLEAN_10028513	204	617	708	284	703
Millet_GLEAN_10028514	0	0	0	0	0
Millet_GLEAN_10028515	0	0	0	0	0
Millet_GLEAN_10028516	0	0	0	0	0
Millet_GLEAN_10028517	0	0	0	0	0
Millet_GLEAN_10028518	23	19	23	4	2
Millet_GLEAN_10028519	74	182	84	92	23
Millet_GLEAN_10028520	5001	12310	10034	5964	13250
Millet_GLEAN_10028521	9696	21944	16845	11984	21824
Millet_GLEAN_10028522	10	0	0	13	2
Millet_GLEAN_10028523	0	2	0	0	0
Millet_GLEAN_10028524	3207	10353	8983	4610	12364
Millet_GLEAN_10028525	5283	11645	10944	5741	14867
Millet_GLEAN_10028526	36	80	59	42	105
Millet_GLEAN_10028527	1287	2328	2140	916	3542
Millet_GLEAN_10028528	0	0	0	0	0
Millet_GLEAN_10028529	2090	3877	2675	2223	7934
Millet_GLEAN_10028530	295	756	573	194	771
Millet_GLEAN_10028531	7461	15376	13862	8846	16591
Millet_GLEAN_10028532	12745	30404	28896	15641	40384
Millet_GLEAN_10028533	0	0	0	0	0
Millet_GLEAN_10028534	0	6	2	0	3
Millet_GLEAN_10028535	139	221	162	91	211
Millet_GLEAN_10028536	350	865	878	511	973
Millet_GLEAN_10028537	662	647	882	313	889
Millet_GLEAN_10028538	124	228	540	171	320
Millet_GLEAN_10028539	0	12	8	0	10
Millet_GLEAN_10028540	545	935	1530	596	2385
Millet_GLEAN_10028541	10	41	12	18	49
Millet_GLEAN_10028542	0	0	0	0	0
Millet_GLEAN_10028543	0	0	0	0	0
Millet_GLEAN_10028544	0	0	0	0	0
Millet_GLEAN_10028545	10	10	9	6	37
Millet_GLEAN_10028546	0	0	0	0	0
Millet_GLEAN_10028547	28	76	23	39	20
Millet_GLEAN_10028548	1635	3164	2090	2272	1974
