DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MSW
COLOR	#ff0000
FIELD_LABELS	MSW
MARGIN	0
STRIP_WIDTH	35
SHOW_INTERNAL	0
SHOW_TREE	1
COLOR_MIN	#3182bd
COLOR_MAX	#de2d26
USE_MID_COLOR	1
COLOR_MID	#ffff00
DATA
OTU_2704|g_Mesorhizobium	-0.3496
OTU_27604|g_Mesorhizobium	-0.26683
OTU_364|g_Nannocystis	0.35257
OTU_559|g_Nannocystis	
OTU_119|g_Nitrosospira	
OTU_26546|g_Nitrosospira	
OTU_81|g_Phenylobacterium	
OTU_25453|g_Porphyrobacter	
OTU_9567|g_Rhizobacter	-0.07779
OTU_226|g_Rhizobium	
OTU_1651|g_Rubrivivax	
OTU_37|g_Shinella	
OTU_174|g_Sorangium	
OTU_18001|g_Sphingomonas	
OTU_421|g_Sphingopyxis	
OTU_0|g_Steroidobacter	
OTU_15587|g_Steroidobacter	
OTU_18464|g_Steroidobacter	
OTU_20057|g_Steroidobacter	
OTU_23941|g_Steroidobacter	
OTU_24703|g_Steroidobacter	
OTU_472|g_Tepidimonas	0.18113
OTU_200|g_Vasilyevaea	
OTU_171|o_Rhizobiales	
OTU_20065|o_Syntrophobacterales	
OTU_24|o_Xanthomonadales	
OTU_5117|p_Proteobacteria	
OTU_10712|g_Nitrososphaera	0.12611
OTU_18308|g_Nitrososphaera	
OTU_26575|g_Nitrososphaera	-0.24757
OTU_302|g_Alterococcus	
OTU_75|g_Opitutus	
OTU_669|p_Verrucomicrobia	
